"original","standardized","status"
"RIKEN P-VS1 ID-17356 from Mouse_Plasma_WT_N_F1DHA",NA,"Skipped"
"TAG O-8:0_12:0_18:5","TG(O-8:0/12:0/18:5)","Modified"
"PC 37:6","PC(37:6)","Modified"
"TAG 16:0_19:2_24:5","TG(16:0/19:2/24:5)","Modified"
"MGDG 25:0_22:4","MGDG(25:0/22:4)","Modified"
"PC 36:3e","PC(36:3e)","Modified"
"RIKEN P-VS1 ID-16601 from Mouse_Kidney_WT_N_F1",NA,"Skipped"
"RIKEN P-VS1 ID-17768 from Mouse_Adipose_WT_N_F1",NA,"Skipped"
"Cer-NS d18:1/22:1","Cerd18:1/22:1","Modified"
"SQDG 19:0_16:4","SQDG(19:0/16:4)","Modified"
"Cer-NDS d18:0/24:1","Cer-NDSd18:0/24:1","Modified"
"PC 31:0e","PC(31:0e)","Modified"
"PC 33:1e","PC(33:1e)","Modified"
"LPC O-18:1 -B","LPCO-(LPCO-18:1-B)","Modified"
"TAG 16:3_21:2_26:3","TG(16:3/21:2/26:3)","Modified"
"TAG 17:0_20:2_22:5","TG(17:0/20:2/22:5)","Modified"
"PC 36:2","PC(36:2)","Modified"
"PC 32:1","PC(32:1)","Modified"
"PE O-20:4_20:4","PEO-(PEO-20:4/20:4)","Modified"
"PE O-22:6_17:0","PEO-(PEO-22:6/17:0)","Modified"
"PC 40:5","PC(40:5)","Modified"
"SM 41:2","SM(41:2)","Modified"
"TAG 58:6","TG(58:6)","Modified"
"DG O-11:0_22:4","DGO-(DGO-11:0/22:4)","Modified"
"PI 36:4","PI(36:4)","Modified"
"TAG 55:2","TG(55:2)","Modified"
"RIKEN P-VS1 ID-14021 from Mouse_Spleen_WT_N_F1EPA",NA,"Skipped"
"TAG 14:0_21:1_26:4","TG(14:0/21:1/26:4)","Modified"
"PC 36:5 -B","PC(36:5-B)","Modified"
"RIKEN P-VS1 ID-12701 from Mouse_Brain_WT_N_Ctr",NA,"Skipped"
"RIKEN P-VS1 ID-19793 from Mouse_AdrenalGlands_fads2KO_N_Ctr",NA,"Skipped"
"PC 44:10","PC(44:10)","Modified"
"SQDG 19:0_18:5","SQDG(19:0/18:5)","Modified"
"TAG 54:9","TG(54:9)","Modified"
"PC O-34:5","PCO-(PCO-34:5)","Modified"
"DG O-18:1_28:3","DGO-(DGO-18:1/28:3)","Modified"
"TAG 50:2","TG(50:2)","Modified"
"LPE O-20:1","LPEO-(LPEO-20:1)","Modified"
"PC 36:1","PC(36:1)","Modified"
"SM 32:0","SM(32:0)","Modified"
"PC 34:5e or BMP (32:1)","PC34:5eorBMP(32:1)","Modified"
"Phosphocholine",NA,"Skipped"
"TAG 15:0_20:3_22:4","TG(15:0/20:3/22:4)","Modified"
"SM d42:0","SM(d42:0)","Modified"
"TAG 58:6","TG(58:6)","Modified"
"SM 42:1","SM(42:1)","Modified"
"Cer 16:2","Cer16:2","Modified"
"LDGTS 14:1","LDGTS(14:1)","Modified"
"PC O-34:7","PCO-(PCO-34:7)","Modified"
"LPC 18:0 -A","LPC(18:0-A)","Modified"
"TAG 14:0/18:2/18:2","TG(14:0/18:2/18:2)","Modified"
"SM 40:6","SM(40:6)","Modified"
"TAG 18:2_18:2_18:3","TG(18:2/18:2/18:3)","Modified"
"DAG 40:4","DAG(40:4)","Modified"
"PE 38:3","PE(38:3)","Modified"
"TAG 44:0","TG(44:0)","Modified"
"Cer 43:5","Cer43:5","Modified"
"TAG 60:5","TG(60:5)","Modified"
"RIKEN P-VS1 ID-16898 from Mouse_Aorta_ApoEKO_N_F1EPA",NA,"Skipped"
"SHexCer 40:3","SHexCer40:3","Modified"
"PC 16:4_28:7","PC(16:4/28:7)","Modified"
"DGDG 34:3","DGDG(34:3)","Modified"
"TAG 17:1/18:1/18:2","TG(17:1/18:1/18:2)","Modified"
"PC 40:5","PC(40:5)","Modified"
"RIKEN P-VS1 ID-11887 from Cell_C2C12_WT_N_24hCtr",NA,"Skipped"
"TAG 50:1","TG(50:1)","Modified"
"CE 22:4","CE(22:4)","Modified"
"CAR 14:0","CAR(14:0)","Modified"
"HexCer-NS d42:1","HexCer-NSd42:1","Modified"
"PI 36:2","PI(36:2)","Modified"
"RIKEN P-VS1 ID-13049 from Mouse_Muscle_WT_N_F1EPA",NA,"Skipped"
"RIKEN P-VS1 ID-12902 from Mouse_SmallIntestine_WT_N_F1DHA",NA,"Skipped"
"TAG 52:3","TG(52:3)","Modified"
"DGTS 4:0_26:1","DGTS(4:0/26:1)","Modified"
"TAG 50:1","TG(50:1)","Modified"
"TAG 56:3","TG(56:3)","Modified"
"PC O-36:2","PCO-(PCO-36:2)","Modified"
"PC O-40:8","PCO-(PCO-40:8)","Modified"
"TAG 18:5_18:5_28:6","TG(18:5/18:5/28:6)","Modified"
"20230830-Pos-unknown-14",NA,"Skipped"
"TAG 54:3","TG(54:3)","Modified"
"TAG 46:3","TG(46:3)","Modified"
"RIKEN P-VS1 ID-10794 from Mouse_Brain_fads2KO_N_Ctr",NA,"Skipped"
"TAG 52:6","TG(52:6)","Modified"
"PC 36:5","PC(36:5)","Modified"
"TAG 46:2","TG(46:2)","Modified"
"Lyso-PAF C-16","Lyso-PAFC-16","Modified"
"TAG 52:3","TG(52:3)","Modified"
"TAG 20:2_22:3_22:5","TG(20:2/22:3/22:5)","Modified"
"BMP 40:7","BMP(40:7)","Modified"
"RIKEN P-VS1 ID-15629 from Mouse_Muscle_WT_N_F1EPA",NA,"Skipped"
"PC O-35:7","PCO-(PCO-35:7)","Modified"
"TAG 56:10","TG(56:10)","Modified"
"PE O-18:4_20:4","PEO-(PEO-18:4/20:4)","Modified"
"TAG 18:2_18:2_21:1","TG(18:2/18:2/21:1)","Modified"
"PC 35:1 +Na_A","PC(35:1+Na)_A","Modified"
"DGGA 26:0_20:1","DGGA(26:0/20:1)","Modified"
"RIKEN P-VS1 ID-16061 from Mouse_Adipose_WT_N_F1",NA,"Skipped"
"TAG 50:2","TG(50:2)","Modified"
"Cer 42:3","Cer42:3","Modified"
