"variable_id"	"Alignment.ID"	"rt"	"mz"	"Compound.name"	"Adduct"	"Post_curation_result"	"zero_freq"	"zero_freq.1"	"zero_freq.2"	"zero_freq.3"	"zero_freq.4"	"note"	"All_identifications"	"lipid_class"
"98"	"lipid_98"	1771	901.5	996.80334	"TAG 18:3_20:4_24:5"	"[M+H]+"	"adduct linked to 1816_[M+CH3OH+H]+"	0	0	0	0	0	"w/o MS2"	"TAG 18:3_20:4_24:5"	"TAG"
"99"	"lipid_99"	1463	343.38	870.54266	"SQDG 15:0_22:6"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"SQDG 15:0_22:6"	"SQDG"
"100"	"lipid_100"	900	445.92	753.58405	"SM 36:1"	"[M+Na]+"	"found in higher mz's MsMs_1426; found in higher mz's MsMs_1319; found in higher mz's MsMs_1939"	0	0	0	0	0	NA	"SM 36:1;2O"	"SM"
"101"	"lipid_101"	1740	947.7	978.84991	"TAG 60:7"	"[M+NH4]+"	"adduct linked to 1792_[M+CH3OH+H]+"	0	0	0	0	0	NA	"TAG 60:7|TAG 18:1_20:3_22:3"	"TAG"
"102"	"lipid_102"	1499	908.04	882.75671	"TAG 53:6"	"[M+NH4]+"	NA	0	0	0	0	0	NA	"TAG 53:6|TAG 17:2_17:2_19:2"	"TAG"
"103"	"lipid_103"	251	139.26	456.40424	"DG O-22:2_2:0"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"DG O-22:2_2:0"	"DG"
"104"	"lipid_104"	502	819.42	628.60034	"CE 15:0"	"[M+H]+"	"similar chromatogram in higher mz_535; adduct linked to 587_[M+K]+"	0	0	0	0	0	"w/o MS2"	"CE 15:0"	"CE"
"105"	"lipid_105"	1534	1002.18	890.85675	"CE 34:2"	"[M+NH4]+"	NA	0	0	0	0	0	NA	"CE 34:2"	"CE"
"106"	"lipid_106"	1302	911.28	832.74207	"TAG 49:3"	"[M+NH4]+"	"ion correlated with 1173; ion correlated with 1384"	0	0	0	0	0	NA	"TAG 49:3|TAG 17:0_15:1_17:2"	"TAG"
"107"	"lipid_107"	521	833.82	636.63019	"Cer-NDS d18:0/23:1"	"[M+H]+"	"adduct linked to 474_[M+H-H2O]+; adduct linked to 580_[M+K]+"	0	0	0	0	0	"[MS2 confirm]"	"Cer-NDS d18:0/23:1"	"Cer"
